	Win%	avgSB	avgSO	avgHits	avgDoubles	avgTriples	avgHRs
ARI	0.3950617284	0.5308641975	7.1913580247	8.512345679	1.5987654321	0.2901234568	0.7283950617
ATL	0.487654321	0.5864197531	8.450617284	8.1234567901	1.4814814815	0.1358024691	0.7592592593
BAL	0.5925925926	0.2716049383	7.9320987654	8.8518518519	1.6296296296	0.0987654321	1.3024691358
BOS	0.4382716049	0.3888888889	8.2530864198	8.3641975309	1.7407407407	0.1234567901	0.7592592593
CHC	0.450617284	0.4012345679	9.1172839506	8.1172839506	1.6666666667	0.1913580247	0.9691358025
CHW	0.450617284	0.524691358	8.4074074074	8.6419753086	1.7222222222	0.1975308642	0.9567901235
CIN	0.4691358025	0.7530864198	7.7283950617	7.9135802469	1.5679012346	0.1234567901	0.8086419753
CLE	0.524691358	0.6419753086	7.3395061728	8.7098765432	1.7530864198	0.1419753086	0.8765432099
COL	0.4074074074	0.524691358	7.9074074074	9.5740740741	1.8950617284	0.2530864198	1.1481481481
DET	0.5555555556	0.6543209877	7.0617283951	9.6111111111	2.0061728395	0.1604938272	0.9567901235
HOU	0.4320987654	0.7530864198	8.9012345679	8.1296296296	1.4814814815	0.1172839506	1.0061728395
KCR	0.549382716	0.9444444444	6.0802469136	8.987654321	1.7654320988	0.1790123457	0.5864197531
LAA	0.6049382716	0.5	7.8148148148	9.037037037	1.8765432099	0.1913580247	0.9567901235
LAD	0.5802469136	0.8518518519	7.6913580247	9.1111111111	1.8641975309	0.2345679012	0.8271604938
MIA	0.475308642	0.3580246914	8.7592592593	8.6358024691	1.5679012346	0.2222222222	0.7530864198
MIL	0.5061728395	0.6296296296	7.3888888889	8.4320987654	1.8333333333	0.1728395062	0.9259259259
MIN	0.4320987654	0.6111111111	8.2037037037	8.7160493827	1.950617284	0.1666666667	0.7901234568
NYM	0.487654321	0.6234567901	7.8024691358	8.0617283951	1.6975308642	0.1172839506	0.7716049383
NYY	0.5185185185	0.6913580247	6.9938271605	8.3271604938	1.524691358	0.1604938272	0.9074074074
OAK	0.5432098765	0.512345679	6.8148148148	8.3580246914	1.5617283951	0.2037037037	0.9012345679
PHI	0.450617284	0.6728395062	8.0617283951	8.3703703704	1.549382716	0.1666666667	0.7716049383
PIT	0.5432098765	0.6419753086	7.6790123457	8.8641975309	1.6975308642	0.1851851852	0.962962963
SDP	0.475308642	0.5617283951	7.987654321	7.4012345679	1.3827160494	0.1851851852	0.6728395062
SFG	0.537037037	0.3456790123	7.6851851852	8.6851851852	1.5864197531	0.2592592593	0.8148148148
SEA	0.5432098765	0.5925925926	7.6049382716	8.1975308642	1.524691358	0.1975308642	0.8395061728
STL	0.5555555556	0.3518518519	6.9938271605	8.462962963	1.6975308642	0.1296296296	0.6481481481
TBR	0.475308642	0.3888888889	6.9382716049	8.4012345679	1.6234567901	0.1481481481	0.7222222222
TEX	0.4135802469	0.6481481481	7.1728395062	8.6419753086	1.6049382716	0.1728395062	0.6851851852
TOR	0.512345679	0.4814814815	7.1049382716	8.8580246914	1.7407407407	0.1481481481	1.0925925926
WSN	0.5925925926	0.6234567901	8.049382716	8.6604938272	1.6358024691	0.1666666667	0.9382716049
